species,longitude,latitude,thin_factor
Cynomys mexicanus,-101.744069,27.157827,3
Cynomys mexicanus,-101.341931,25.087207,3
Cynomys mexicanus,-101.277428,25.094747,3
Cynomys mexicanus,-101.256652,25.045612,3
Cynomys mexicanus,-101.245187,25.047212,3
Cynomys mexicanus,-101.214414,25.017046,3
Cynomys mexicanus,-101.207884,25.015293,3
Cynomys mexicanus,-101.197717,25.017384,3
Cynomys mexicanus,-101.192346,25.039561,3
Cynomys mexicanus,-101.191129,25.015658,3
Cynomys mexicanus,-101.186674,25.019208,3
Cynomys mexicanus,-101.179767,25.020781,3
Cynomys mexicanus,-101.128785,24.932968,3
Cynomys mexicanus,-101.127604,24.977503,3
Cynomys mexicanus,-101.122364,24.980864,3
Cynomys mexicanus,-101.122225,24.973409,3
Cynomys mexicanus,-101.119012,24.973103,3
Cynomys mexicanus,-101.117143,24.987158,3
Cynomys mexicanus,-101.110503,25.194201,3
Cynomys mexicanus,-101.107752,25.074014,3
Cynomys mexicanus,-101.104772,24.969703,3
Cynomys mexicanus,-101.104126,24.96667,3
Cynomys mexicanus,-101.100998,25.256067,3
Cynomys mexicanus,-101.095498,25.058266,3
Cynomys mexicanus,-101.094161,24.846332,3
Cynomys mexicanus,-101.088727,25.098816,3
Cynomys mexicanus,-101.084937,25.102177,3
Cynomys mexicanus,-101.084837,25.115583,3
Cynomys mexicanus,-101.084279,24.976527,3
Cynomys mexicanus,-101.082611,25.108835,3
Cynomys mexicanus,-101.081262,25.118739,3
Cynomys mexicanus,-101.080879,25.114276,3
Cynomys mexicanus,-101.079616,25.117543,3
Cynomys mexicanus,-101.079285,25.103845,3
Cynomys mexicanus,-101.078521,25.117884,3
Cynomys mexicanus,-101.078465,25.106375,3
Cynomys mexicanus,-101.072965,25.110063,3
Cynomys mexicanus,-101.07082,25.111013,3
Cynomys mexicanus,-101.069511,24.958119,3
Cynomys mexicanus,-101.06764,24.975911,3
Cynomys mexicanus,-101.063371,24.976449,3
Cynomys mexicanus,-101.061635,24.812454,3
Cynomys mexicanus,-101.058597,24.968733,3
Cynomys mexicanus,-101.050588,24.963499,3
Cynomys mexicanus,-101.050465,24.811036,3
Cynomys mexicanus,-101.050254,24.942145,3
Cynomys mexicanus,-101.049081,24.952019,3
Cynomys mexicanus,-101.048703,24.816964,3
Cynomys mexicanus,-101.047286,24.816812,3
Cynomys mexicanus,-101.043829,24.823719,3
Cynomys mexicanus,-101.041711,24.828516,3
Cynomys mexicanus,-101.041385,24.810448,3
Cynomys mexicanus,-101.038817,24.973807,3
Cynomys mexicanus,-101.035482,24.820801,3
Cynomys mexicanus,-101.035129,24.817412,3
Cynomys mexicanus,-101.027,24.959,3
Cynomys mexicanus,-101.026481,24.801379,3
Cynomys mexicanus,-101.025257,24.817979,3
Cynomys mexicanus,-101.021386,24.806765,3
Cynomys mexicanus,-101.021231,24.808193,3
Cynomys mexicanus,-101.019876,25.061994,3
Cynomys mexicanus,-101.015669,25.05927,3
Cynomys mexicanus,-101.014932,25.058423,3
Cynomys mexicanus,-101.014852,24.850294,3
Cynomys mexicanus,-101.014245,25.05827,3
Cynomys mexicanus,-101.008062,25.056467,3
Cynomys mexicanus,-101.007474,25.058099,3
Cynomys mexicanus,-101.004471,25.061183,3
Cynomys mexicanus,-101.000787,25.051573,3
Cynomys mexicanus,-100.995108,25.086202,3
Cynomys mexicanus,-100.994231,25.050018,3
Cynomys mexicanus,-100.988775,24.825826,3
Cynomys mexicanus,-100.987988,24.100786,3
Cynomys mexicanus,-100.985248,24.94388,3
Cynomys mexicanus,-100.984882,25.049123,3
Cynomys mexicanus,-100.983232,25.004917,3
Cynomys mexicanus,-100.980823,25.066646,3
Cynomys mexicanus,-100.980727,23.927015,3
Cynomys mexicanus,-100.979416,25.046334,3
Cynomys mexicanus,-100.976566,25.121374,3
Cynomys mexicanus,-100.972392,25.063201,3
Cynomys mexicanus,-100.970444,25.064066,3
Cynomys mexicanus,-100.960154,25.114873,3
Cynomys mexicanus,-100.959717,25.06698,3
Cynomys mexicanus,-100.959172,25.098773,3
Cynomys mexicanus,-100.956659,24.065524,3
Cynomys mexicanus,-100.95359,25.045674,3
Cynomys mexicanus,-100.953167,25.100761,3
Cynomys mexicanus,-100.952921,25.062826,3
Cynomys mexicanus,-100.940884,25.000984,3
Cynomys mexicanus,-100.931117,24.124187,3
Cynomys mexicanus,-100.930752,24.125393,3
Cynomys mexicanus,-100.930673,24.126062,3
Cynomys mexicanus,-100.930321,24.12622,3
Cynomys mexicanus,-100.930064,24.124164,3
Cynomys mexicanus,-100.929935,24.124058,3
Cynomys mexicanus,-100.929647,24.118617,3
Cynomys mexicanus,-100.929513,24.126736,3
Cynomys mexicanus,-100.92919,24.157663,3
Cynomys mexicanus,-100.929173,24.121792,3
Cynomys mexicanus,-100.929155,24.121928,3
Cynomys mexicanus,-100.928889,24.155319,3
Cynomys mexicanus,-100.928744,24.154202,3
Cynomys mexicanus,-100.928737,24.15375,3
Cynomys mexicanus,-100.928624,24.156054,3
Cynomys mexicanus,-100.928612,24.153923,3
Cynomys mexicanus,-100.928443,24.157745,3
Cynomys mexicanus,-100.928317,24.151995,3
Cynomys mexicanus,-100.928285,24.13671,3
Cynomys mexicanus,-100.928245,24.153097,3
Cynomys mexicanus,-100.927893,24.155819,3
Cynomys mexicanus,-100.927865,24.125131,3
Cynomys mexicanus,-100.927819,24.140381,3
Cynomys mexicanus,-100.927751,24.152264,3
Cynomys mexicanus,-100.927503,24.140358,3
Cynomys mexicanus,-100.927503,24.113399,3
Cynomys mexicanus,-100.927481,24.137569,3
Cynomys mexicanus,-100.927414,24.139664,3
Cynomys mexicanus,-100.927412,24.141506,3
Cynomys mexicanus,-100.927392,24.153903,3
Cynomys mexicanus,-100.927346,24.125246,3
Cynomys mexicanus,-100.927313,24.149976,3
Cynomys mexicanus,-100.927106,24.151893,3
Cynomys mexicanus,-100.926978,24.138135,3
Cynomys mexicanus,-100.926885,24.142443,3
Cynomys mexicanus,-100.926814,24.118617,3
Cynomys mexicanus,-100.926724,24.151997,3
Cynomys mexicanus,-100.92662,24.118195,3
Cynomys mexicanus,-100.926612,24.143222,3
Cynomys mexicanus,-100.926535,24.136181,3
Cynomys mexicanus,-100.926471,24.13648,3
Cynomys mexicanus,-100.92647,24.14299,3
Cynomys mexicanus,-100.926125,24.127862,3
Cynomys mexicanus,-100.926042,24.152484,3
Cynomys mexicanus,-100.926027,24.15085,3
Cynomys mexicanus,-100.925857,24.117139,3
Cynomys mexicanus,-100.925616,24.143732,3
Cynomys mexicanus,-100.925488,24.143761,3
Cynomys mexicanus,-100.925217,24.128957,3
Cynomys mexicanus,-100.924968,24.131352,3
Cynomys mexicanus,-100.924964,24.145546,3
Cynomys mexicanus,-100.924707,24.129694,3
Cynomys mexicanus,-100.92449,24.147384,3
Cynomys mexicanus,-100.9243,24.14522,3
Cynomys mexicanus,-100.923699,24.109654,3
Cynomys mexicanus,-100.92352,24.147045,3
Cynomys mexicanus,-100.922318,24.144956,3
Cynomys mexicanus,-100.921725,24.109201,3
Cynomys mexicanus,-100.921626,24.144089,3
Cynomys mexicanus,-100.920772,24.15404,3
Cynomys mexicanus,-100.920037,24.109493,3
Cynomys mexicanus,-100.918872,24.119087,2
Cynomys mexicanus,-100.918794,24.132279,2
Cynomys mexicanus,-100.918703,24.133463,2
Cynomys mexicanus,-100.918663,24.136741,2
Cynomys mexicanus,-100.918552,24.111507,2
Cynomys mexicanus,-100.918011,24.120064,2
Cynomys mexicanus,-100.917823,24.117331,2
Cynomys mexicanus,-100.917789,24.11641,2
Cynomys mexicanus,-100.917617,24.131264,2
Cynomys mexicanus,-100.916835,24.112413,2
Cynomys mexicanus,-100.916797,24.130372,2
Cynomys mexicanus,-100.916591,24.129724,2
Cynomys mexicanus,-100.916089,24.121117,2
Cynomys mexicanus,-100.915995,24.115484,2
Cynomys mexicanus,-100.915968,24.114329,2
Cynomys mexicanus,-100.915823,24.127721,2
Cynomys mexicanus,-100.915426,24.126127,2
Cynomys mexicanus,-100.915078,24.705316,2
Cynomys mexicanus,-100.915002,24.122801,2
Cynomys mexicanus,-100.914983,25.013208,2
Cynomys mexicanus,-100.914924,24.124139,2
Cynomys mexicanus,-100.91473,24.124972,2
Cynomys mexicanus,-100.914439,24.997289,2
Cynomys mexicanus,-100.914053,23.984582,2
Cynomys mexicanus,-100.914015,23.983336,2
Cynomys mexicanus,-100.913724,23.984261,2
Cynomys mexicanus,-100.913423,23.985167,2
Cynomys mexicanus,-100.91293,24.748354,2
Cynomys mexicanus,-100.912737,23.984679,2
Cynomys mexicanus,-100.912635,23.985042,2
Cynomys mexicanus,-100.911789,24.211558,2
Cynomys mexicanus,-100.911767,23.984195,2
Cynomys mexicanus,-100.911555,24.951095,2
Cynomys mexicanus,-100.91138,23.983224,2
Cynomys mexicanus,-100.911091,24.214293,2
Cynomys mexicanus,-100.910724,24.20814,2
Cynomys mexicanus,-100.91065,23.981094,2
Cynomys mexicanus,-100.910344,23.980935,2
Cynomys mexicanus,-100.910249,24.730783,2
Cynomys mexicanus,-100.909925,24.213288,2
Cynomys mexicanus,-100.909344,24.750476,2
Cynomys mexicanus,-100.909193,24.215084,2
Cynomys mexicanus,-100.909005,24.214319,2
Cynomys mexicanus,-100.908997,24.736207,2
Cynomys mexicanus,-100.908857,24.206421,2
Cynomys mexicanus,-100.908717,24.131465,2
Cynomys mexicanus,-100.90839,24.961644,2
Cynomys mexicanus,-100.90828,24.213245,2
Cynomys mexicanus,-100.90815,24.208479,2
Cynomys mexicanus,-100.907772,24.214849,2
Cynomys mexicanus,-100.907307,24.21007,2
Cynomys mexicanus,-100.907238,24.712918,2
Cynomys mexicanus,-100.907172,24.205612,2
Cynomys mexicanus,-100.907082,24.208159,2
Cynomys mexicanus,-100.90689,24.214481,2
Cynomys mexicanus,-100.906889,24.207069,2
Cynomys mexicanus,-100.906886,24.213497,2
Cynomys mexicanus,-100.905904,24.21304,2
Cynomys mexicanus,-100.904897,25.016417,2
Cynomys mexicanus,-100.904855,24.705049,2
Cynomys mexicanus,-100.904634,24.198402,2
Cynomys mexicanus,-100.904402,24.197385,2
Cynomys mexicanus,-100.904243,24.124318,2
Cynomys mexicanus,-100.903722,24.217202,2
Cynomys mexicanus,-100.903465,24.213856,2
Cynomys mexicanus,-100.902737,24.198597,2
Cynomys mexicanus,-100.902584,24.216846,2
Cynomys mexicanus,-100.902213,24.200455,2
Cynomys mexicanus,-100.901699,25.005,2
Cynomys mexicanus,-100.901421,24.202171,2
Cynomys mexicanus,-100.901128,24.803266,2
Cynomys mexicanus,-100.901059,24.199612,2
Cynomys mexicanus,-100.900851,24.19891,2
Cynomys mexicanus,-100.900357,24.200099,2
Cynomys mexicanus,-100.900147,24.202521,2
Cynomys mexicanus,-100.89824,25.008105,2
Cynomys mexicanus,-100.891478,24.935227,2
Cynomys mexicanus,-100.88851,25.149209,2
Cynomys mexicanus,-100.881937,24.921095,2
Cynomys mexicanus,-100.88183,24.707154,2
Cynomys mexicanus,-100.877183,25.11511,2
Cynomys mexicanus,-100.876592,24.489237,2
Cynomys mexicanus,-100.873105,24.978613,2
Cynomys mexicanus,-100.87162,24.94986,2
Cynomys mexicanus,-100.871599,24.938683,2
Cynomys mexicanus,-100.867055,24.883915,2
Cynomys mexicanus,-100.864656,24.962848,2
Cynomys mexicanus,-100.86368,24.941464,2
Cynomys mexicanus,-100.863428,24.940465,2
Cynomys mexicanus,-100.863238,25.11228,2
Cynomys mexicanus,-100.863138,24.944251,2
Cynomys mexicanus,-100.855481,25.023132,2
Cynomys mexicanus,-100.855456,24.982698,2
Cynomys mexicanus,-100.853791,24.985906,2
Cynomys mexicanus,-100.852754,24.987427,2
Cynomys mexicanus,-100.85019,24.984922,2
Cynomys mexicanus,-100.847617,24.987066,2
Cynomys mexicanus,-100.84711,24.904628,2
Cynomys mexicanus,-100.845219,24.975061,2
Cynomys mexicanus,-100.840495,24.979065,2
Cynomys mexicanus,-100.839544,24.897706,2
Cynomys mexicanus,-100.839387,24.902502,2
Cynomys mexicanus,-100.838678,24.849985,2
Cynomys mexicanus,-100.838238,24.902453,2
Cynomys mexicanus,-100.834225,24.981084,2
Cynomys mexicanus,-100.833345,25.098563,2
Cynomys mexicanus,-100.831433,24.26206,2
Cynomys mexicanus,-100.83143,24.261871,2
Cynomys mexicanus,-100.831298,24.264301,2
Cynomys mexicanus,-100.8312,24.260952,2
Cynomys mexicanus,-100.830525,24.261899,2
Cynomys mexicanus,-100.830005,24.264849,2
Cynomys mexicanus,-100.829379,24.261679,1
Cynomys mexicanus,-100.829333,24.265336,1
Cynomys mexicanus,-100.828976,24.265159,1
Cynomys mexicanus,-100.82833,24.264761,1
Cynomys mexicanus,-100.828127,24.264998,1
Cynomys mexicanus,-100.827953,24.265921,1
Cynomys mexicanus,-100.827594,24.262197,1
Cynomys mexicanus,-100.826979,24.2667,1
Cynomys mexicanus,-100.826811,25.090584,1
Cynomys mexicanus,-100.826204,24.847909,1
Cynomys mexicanus,-100.825834,24.266506,1
Cynomys mexicanus,-100.825336,24.266142,1
Cynomys mexicanus,-100.824785,24.261373,1
Cynomys mexicanus,-100.824281,25.069528,1
Cynomys mexicanus,-100.824261,24.266056,1
Cynomys mexicanus,-100.823554,24.266146,1
Cynomys mexicanus,-100.823217,24.261861,1
Cynomys mexicanus,-100.822764,24.266011,1
Cynomys mexicanus,-100.822459,24.262574,1
Cynomys mexicanus,-100.821918,24.263321,1
Cynomys mexicanus,-100.821481,25.086652,1
Cynomys mexicanus,-100.821118,25.079543,1
Cynomys mexicanus,-100.820872,25.081021,1
Cynomys mexicanus,-100.811839,25.080821,1
Cynomys mexicanus,-100.811749,25.11138,1
Cynomys mexicanus,-100.810859,25.066108,1
Cynomys mexicanus,-100.809731,25.093883,1
Cynomys mexicanus,-100.809361,25.07213,1
Cynomys mexicanus,-100.808921,25.081281,1
Cynomys mexicanus,-100.80841,25.015495,1
Cynomys mexicanus,-100.808249,25.072631,1
Cynomys mexicanus,-100.806816,25.072287,1
Cynomys mexicanus,-100.806483,25.083342,1
Cynomys mexicanus,-100.805991,25.08156,1
Cynomys mexicanus,-100.805469,24.303579,1
Cynomys mexicanus,-100.805293,24.302317,1
Cynomys mexicanus,-100.804283,25.166565,1
Cynomys mexicanus,-100.804127,25.074117,1
Cynomys mexicanus,-100.80255,25.074741,1
Cynomys mexicanus,-100.801392,25.078899,1
Cynomys mexicanus,-100.798361,24.270436,1
Cynomys mexicanus,-100.798194,25.072365,1
Cynomys mexicanus,-100.798172,24.272362,1
Cynomys mexicanus,-100.797363,24.272967,1
Cynomys mexicanus,-100.79693,25.070024,1
Cynomys mexicanus,-100.796717,24.273255,1
Cynomys mexicanus,-100.795795,24.270069,1
Cynomys mexicanus,-100.794684,24.270191,1
Cynomys mexicanus,-100.794662,24.26862,1
Cynomys mexicanus,-100.794394,24.514823,1
Cynomys mexicanus,-100.793892,24.956843,1
Cynomys mexicanus,-100.793582,24.266755,1
Cynomys mexicanus,-100.793333,25.072785,1
Cynomys mexicanus,-100.793022,25.073908,1
Cynomys mexicanus,-100.792995,25.065278,1
Cynomys mexicanus,-100.79297,24.270157,1
Cynomys mexicanus,-100.792825,24.303991,1
Cynomys mexicanus,-100.79265,25.066772,1
Cynomys mexicanus,-100.792552,24.267056,1
Cynomys mexicanus,-100.792272,24.273804,1
Cynomys mexicanus,-100.790398,24.270774,1
Cynomys mexicanus,-100.790324,24.273249,1
Cynomys mexicanus,-100.78976,24.271667,1
Cynomys mexicanus,-100.789043,24.935993,1
Cynomys mexicanus,-100.784507,25.061624,1
Cynomys mexicanus,-100.778299,25.056544,1
Cynomys mexicanus,-100.774869,25.060638,1
Cynomys mexicanus,-100.773046,25.07311,1
Cynomys mexicanus,-100.771259,25.073574,1
Cynomys mexicanus,-100.765106,24.31431,1
Cynomys mexicanus,-100.76499,25.078858,1
Cynomys mexicanus,-100.764024,24.898309,1
Cynomys mexicanus,-100.762361,24.416289,1
Cynomys mexicanus,-100.762048,24.422134,1
Cynomys mexicanus,-100.759562,24.418524,1
Cynomys mexicanus,-100.758616,24.407222,1
Cynomys mexicanus,-100.753781,24.817961,1
Cynomys mexicanus,-100.752481,24.895224,1
Cynomys mexicanus,-100.752411,25.056608,1
Cynomys mexicanus,-100.752027,24.895988,1
Cynomys mexicanus,-100.747639,24.868944,1
Cynomys mexicanus,-100.745478,24.887831,1
Cynomys mexicanus,-100.743479,25.042484,1
Cynomys mexicanus,-100.743174,25.036331,1
Cynomys mexicanus,-100.739615,25.059386,1
Cynomys mexicanus,-100.739487,25.059423,1
Cynomys mexicanus,-100.736853,25.069439,1
Cynomys mexicanus,-100.734385,24.886633,1
Cynomys mexicanus,-100.734168,25.032211,1
Cynomys mexicanus,-100.732062,24.882579,1
Cynomys mexicanus,-100.731685,24.327363,1
Cynomys mexicanus,-100.731514,24.878749,1
Cynomys mexicanus,-100.727084,25.23115,1
Cynomys mexicanus,-100.726702,25.214606,1
Cynomys mexicanus,-100.72619,25.225491,1
Cynomys mexicanus,-100.724143,24.977822,1
Cynomys mexicanus,-100.723765,24.837415,1
Cynomys mexicanus,-100.723665,24.848043,1
Cynomys mexicanus,-100.722014,24.967239,1
Cynomys mexicanus,-100.721695,25.03315,1
Cynomys mexicanus,-100.72123,25.219283,1
Cynomys mexicanus,-100.720321,24.91882,1
Cynomys mexicanus,-100.720055,25.071151,1
Cynomys mexicanus,-100.719998,25.236821,1
Cynomys mexicanus,-100.717509,24.966596,1
Cynomys mexicanus,-100.715962,24.813272,1
Cynomys mexicanus,-100.715571,25.042421,1
Cynomys mexicanus,-100.715197,25.040475,1
Cynomys mexicanus,-100.714072,24.809556,1
Cynomys mexicanus,-100.712902,24.810093,1
Cynomys mexicanus,-100.712695,25.196527,1
Cynomys mexicanus,-100.712532,24.997729,1
Cynomys mexicanus,-100.7078,25.063773,1
Cynomys mexicanus,-100.707725,25.026955,1
Cynomys mexicanus,-100.706581,24.741383,1
Cynomys mexicanus,-100.70628,24.973252,1
Cynomys mexicanus,-100.705223,25.035981,1
Cynomys mexicanus,-100.703758,24.805484,1
Cynomys mexicanus,-100.698215,24.975277,1
Cynomys mexicanus,-100.697656,24.886767,1
Cynomys mexicanus,-100.697518,24.820071,1
Cynomys mexicanus,-100.697483,24.994769,1
Cynomys mexicanus,-100.697056,24.993997,1
Cynomys mexicanus,-100.696457,24.800294,1
Cynomys mexicanus,-100.695692,24.992794,1
Cynomys mexicanus,-100.692759,24.978291,1
Cynomys mexicanus,-100.690149,25.062548,1
Cynomys mexicanus,-100.685384,24.802903,1
Cynomys mexicanus,-100.684862,25.110536,1
Cynomys mexicanus,-100.683131,25.150387,1
Cynomys mexicanus,-100.681396,24.872306,1
Cynomys mexicanus,-100.68008,25.101209,1
Cynomys mexicanus,-100.680033,24.775705,1
Cynomys mexicanus,-100.678048,25.180958,1
Cynomys mexicanus,-100.676408,25.001824,1
Cynomys mexicanus,-100.67602,24.865604,1
Cynomys mexicanus,-100.673848,24.796766,1
Cynomys mexicanus,-100.671717,25.185968,1
Cynomys mexicanus,-100.667322,25.03624,1
Cynomys mexicanus,-100.665272,24.764168,1
Cynomys mexicanus,-100.664811,24.759948,1
Cynomys mexicanus,-100.663599,25.173474,1
Cynomys mexicanus,-100.662701,24.82423,1
Cynomys mexicanus,-100.66173,24.834497,1
Cynomys mexicanus,-100.661579,24.810536,1
Cynomys mexicanus,-100.658226,25.175268,1
Cynomys mexicanus,-100.65633,24.752701,1
Cynomys mexicanus,-100.654621,24.915495,1
Cynomys mexicanus,-100.653266,25.133723,1
Cynomys mexicanus,-100.652296,24.748981,1
Cynomys mexicanus,-100.649287,24.790637,1
Cynomys mexicanus,-100.644112,24.746227,1
Cynomys mexicanus,-100.64241,24.858492,1
Cynomys mexicanus,-100.633938,24.781677,1
Cynomys mexicanus,-100.630151,25.019046,1
Cynomys mexicanus,-100.623469,25.006168,1
Cynomys mexicanus,-100.616334,24.872798,1
Cynomys mexicanus,-100.616046,25.140079,1
Cynomys mexicanus,-100.615469,24.766972,1
Cynomys mexicanus,-100.615184,25.077747,1
Cynomys mexicanus,-100.614809,25.076316,1
Cynomys mexicanus,-100.61369,24.755415,1
Cynomys mexicanus,-100.613565,25.076022,1
Cynomys mexicanus,-100.613077,24.764559,1
Cynomys mexicanus,-100.611224,24.765039,1
Cynomys mexicanus,-100.608663,24.996541,1
Cynomys mexicanus,-100.608504,25.078632,1
Cynomys mexicanus,-100.608298,25.348478,1
Cynomys mexicanus,-100.603359,24.713134,1
Cynomys mexicanus,-100.595076,25.023115,1
Cynomys mexicanus,-100.593705,25.019004,1
Cynomys mexicanus,-100.586598,25.022691,1
Cynomys mexicanus,-100.582709,25.025432,1
Cynomys mexicanus,-100.581548,25.021427,1
Cynomys mexicanus,-100.578461,25.026434,1
Cynomys mexicanus,-100.578364,25.047472,1
Cynomys mexicanus,-100.577939,25.022016,1
Cynomys mexicanus,-100.577526,25.015637,1
Cynomys mexicanus,-100.575482,25.050754,1
Cynomys mexicanus,-100.571175,25.028615,1
Cynomys mexicanus,-100.511131,24.48336,1
Cynomys mexicanus,-100.504308,25.164533,1
Cynomys mexicanus,-100.503948,24.982287,1
Cynomys mexicanus,-100.500365,24.309284,1
Cynomys mexicanus,-100.493318,25.112382,1
Cynomys mexicanus,-100.489566,24.416126,1
Cynomys mexicanus,-100.48521,24.928192,1
Cynomys mexicanus,-100.483071,24.924882,1
Cynomys mexicanus,-100.481684,24.914079,1
Cynomys mexicanus,-100.474852,24.932367,1
Cynomys mexicanus,-100.463661,24.840047,1
Cynomys mexicanus,-100.452814,24.929324,1
Cynomys mexicanus,-100.437565,25.009928,1
Cynomys mexicanus,-100.423081,24.879534,1
Cynomys mexicanus,-100.410205,24.896297,1
Cynomys mexicanus,-100.409385,24.875492,1
Cynomys mexicanus,-100.386602,24.451903,1
Cynomys mexicanus,-100.386109,24.451004,1
Cynomys mexicanus,-100.386093,24.449569,1
Cynomys mexicanus,-100.385679,24.450521,1
Cynomys mexicanus,-100.385674,24.450069,1
Cynomys mexicanus,-100.385164,24.439698,1
Cynomys mexicanus,-100.384751,24.448624,1
Cynomys mexicanus,-100.383662,24.466333,1
Cynomys mexicanus,-100.382915,24.457607,1
Cynomys mexicanus,-100.381732,24.445915,1
Cynomys mexicanus,-100.377423,24.442379,1
Cynomys mexicanus,-100.376065,24.446373,1
Cynomys mexicanus,-100.37527,24.443031,1
Cynomys mexicanus,-100.368275,24.587556,1
Cynomys mexicanus,-100.347106,24.531375,1
Cynomys mexicanus,-100.340832,24.645546,1
Cynomys mexicanus,-100.340051,24.490186,1
Cynomys mexicanus,-100.339852,24.48998,1
Cynomys mexicanus,-100.339708,24.487633,1
Cynomys mexicanus,-100.338977,25.076442,1
Cynomys mexicanus,-100.333183,24.510607,1
Cynomys mexicanus,-100.314495,25.096526,1
Cynomys mexicanus,-100.299707,25.095266,1
Cynomys mexicanus,-100.299296,24.717666,1
Cynomys mexicanus,-100.292179,24.57697,1
Cynomys mexicanus,-100.281284,24.456598,1
Cynomys mexicanus,-100.281278,24.407103,1
Cynomys mexicanus,-100.280911,24.769584,1
Cynomys mexicanus,-100.271836,24.703327,1
Cynomys mexicanus,-100.250674,24.644827,1
Cynomys mexicanus,-100.245156,24.560762,1
Cynomys mexicanus,-100.228858,24.706579,1
Cynomys mexicanus,-100.092653,24.963675,1
Cynomys mexicanus,-100.07636,24.821096,1
Cynomys mexicanus,-100.069575,24.664807,1
